0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:27 -0400] "GET /Afrodita/naviox/images/loading.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:27 -0400] "GET /Afrodita/naviox/images/processing.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:27 -0400] "GET /Afrodita/naviox/images/bookmark-on.png HTTP/1.1" 200 875
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:27 -0400] "GET /Afrodita/naviox/images/bookmark-off.png HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:28 -0400] "POST /Afrodita/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:30 -0400] "GET /Afrodita/naviox/images/search.png HTTP/1.1" 200 679
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:35 -0400] "GET /Afrodita/xava/style/layout.css?ox=5.8 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:35 -0400] "GET /Afrodita/xava/js/dwr-engine.js?ox=5.8 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:35 -0400] "GET /Afrodita/naviox/style/naviox.css?ox=5.8 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:35 -0400] "GET /Afrodita/dwr/interface/Folders.js?ox=5.8 HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:35 -0400] "GET /Afrodita/xava/style/materialdesignicons.css?ox=5.8 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:35 -0400] "GET /Afrodita/dwr/interface/Modules.js?ox=5.8 HTTP/1.1" 200 972
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:35 -0400] "GET /Afrodita/xava/editors/calendar/skins/aqua/theme.css?ox=5.8 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:35 -0400] "GET /Afrodita/xava/style/smoothness/jquery-ui.css?ox=5.8 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:35 -0400] "GET /Afrodita/xava/editors/style/discussionEditor.css?ox=5.8 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:35 -0400] "GET /Afrodita/xava/editors/style/c3.css?ox=5.8 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:35 -0400] "GET /Afrodita/dwr/util.js?ox=5.8 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:35 -0400] "GET /Afrodita/xava/style/yahoo-treeview/treeview.css?ox=5.8 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:35 -0400] "GET /Afrodita/dwr/interface/Module.js?ox=5.8 HTTP/1.1" 200 1131
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:35 -0400] "GET /Afrodita/dwr/interface/Tab.js?ox=5.8 HTTP/1.1" 200 994
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:35 -0400] "GET /Afrodita/dwr/interface/View.js?ox=5.8 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:35 -0400] "GET /Afrodita/xava/js/openxava.js?ox=5.8 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:35 -0400] "GET /Afrodita/xava/editors/calendar/calendar.js?ox=5.8 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:35 -0400] "GET /Afrodita/xava/js/calendar.js?ox=5.8 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:35 -0400] "GET /Afrodita/xava/js/jquery.js?ox=5.8 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:35 -0400] "GET /Afrodita/xava/js/jquery-ui.js?ox=5.8 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:35 -0400] "GET /Afrodita/xava/js/jquery.sorttable.js?ox=5.8 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:35 -0400] "GET /Afrodita/xava/editors/calendar/lang/calendar-es.js?ox=5.8 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:35 -0400] "GET /Afrodita/xava/js/jquery.ui.touch-punch.js?ox=5.8 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:35 -0400] "GET /Afrodita/xava/js/typewatch.js?ox=5.8 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:35 -0400] "GET /Afrodita/xava/editors/js/autoNumeric.js?ox=5.8 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:35 -0400] "GET /Afrodita/xava/editors/js/chartDataEditor.js?ox=5.8 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:35 -0400] "GET /Afrodita/xava/editors/js/d3.js?ox=5.8 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:35 -0400] "GET /Afrodita/xava/editors/js/c3.js?ox=5.8 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:35 -0400] "GET /Afrodita/xava/editors/js/descriptionsEditor.js?ox=5.8 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:35 -0400] "GET /Afrodita/xava/editors/js/discussionEditor.js?ox=5.8 HTTP/1.1" 304 -
